============================================================
   PITCH RESOURCE GANTT LOG — Thread activity over time
============================================================
Time (us)     Role          Player                    Event
115556        FIELDER       Mohammad Wasim Jr.        CATCH
115591        NON_STRIKER   Suryakumar Yadav          RUN_START
116801        STRIKER       Hardik Pandya             RUN_END
117451        NON_STRIKER   Suryakumar Yadav          RUN_END
117618        BOWLER        Shadab Khan               BOWL_START
117634        BOWLER        Shadab Khan               BOWL_END
117636        STRIKER       Ravindra Jadeja           BAT_START
117643        STRIKER       Ravindra Jadeja           BAT_END
117644        STRIKER       Ravindra Jadeja           RUN_START
117644        FIELDER       Shaheen Afridi            CATCH
117681        NON_STRIKER   Suryakumar Yadav          RUN_START
119101        STRIKER       Ravindra Jadeja           RUN_END
120283        NON_STRIKER   Suryakumar Yadav          RUN_END
120371        BOWLER        Imad Wasim                BOWL_START
120372        BOWLER        Imad Wasim                BOWL_END
120379        STRIKER       Ravindra Jadeja           BAT_START
120384        FIELDER       Babar Azam                CATCH
120384        STRIKER       Ravindra Jadeja           BAT_END
120385        STRIKER       Ravindra Jadeja           RUN_START
120391        NON_STRIKER   Suryakumar Yadav          RUN_START
123821        STRIKER       Ravindra Jadeja           RUN_END
123822        NON_STRIKER   Suryakumar Yadav          RUN_END
123909        BOWLER        Imad Wasim                BOWL_START
123910        BOWLER        Imad Wasim                BOWL_END
123930        STRIKER       Ravindra Jadeja           BAT_START
123943        FIELDER       Iftikhar Ahmed            CATCH
123944        STRIKER       Ravindra Jadeja           BAT_END
123944        STRIKER       Ravindra Jadeja           RUN_START
123948        NON_STRIKER   Suryakumar Yadav          RUN_START
126519        NON_STRIKER   Suryakumar Yadav          RUN_END
127417        STRIKER       Ravindra Jadeja           RUN_END
127485        BOWLER        Imad Wasim                BOWL_START
127486        BOWLER        Imad Wasim                BOWL_END
127489        STRIKER       Suryakumar Yadav          BAT_START
127508        STRIKER       Suryakumar Yadav          BAT_END
127508        STRIKER       Suryakumar Yadav          RUN_START
127513        FIELDER       Mohammad Wasim Jr.        CATCH
127526        NON_STRIKER   Ravindra Jadeja           RUN_START
130319        NON_STRIKER   Ravindra Jadeja           RUN_END
130550        STRIKER       Suryakumar Yadav          RUN_END
130600        BOWLER        Imad Wasim                BOWL_START
130601        BOWLER        Imad Wasim                BOWL_END
130601        STRIKER       Ravindra Jadeja           BAT_START
130605        STRIKER       Ravindra Jadeja           BAT_END
130606        STRIKER       Ravindra Jadeja           RUN_START
130607        FIELDER       Naseem Shah               CATCH
130608        NON_STRIKER   Suryakumar Yadav          RUN_START
132837        STRIKER       Ravindra Jadeja           RUN_END
132838        NON_STRIKER   Suryakumar Yadav          RUN_END
132877        BOWLER        Imad Wasim                BOWL_START
132877        BOWLER        Imad Wasim                BOWL_END
132879        STRIKER       Suryakumar Yadav          BAT_START
132889        STRIKER       Suryakumar Yadav          BAT_END
132890        STRIKER       Suryakumar Yadav          RUN_START
132891        FIELDER       Babar Azam                CATCH
132901        NON_STRIKER   Ravindra Jadeja           RUN_START
136111        STRIKER       Suryakumar Yadav          RUN_END
136186        NON_STRIKER   Ravindra Jadeja           RUN_END
136252        BOWLER        Imad Wasim                BOWL_START
136253        BOWLER        Imad Wasim                BOWL_END
136255        STRIKER       Suryakumar Yadav          BAT_START
136260        FIELDER       Azam Khan                 CATCH
136263        STRIKER       Suryakumar Yadav          BAT_END
136264        STRIKER       Suryakumar Yadav          RUN_START
136271        NON_STRIKER   Ravindra Jadeja           RUN_START
139023        STRIKER       Suryakumar Yadav          RUN_END
139024        NON_STRIKER   Ravindra Jadeja           RUN_END
139157        BOWLER        Mohammad Wasim Jr.        BOWL_START
139162        STRIKER       Ravindra Jadeja           BAT_START
139163        BOWLER        Mohammad Wasim Jr.        BOWL_END
139186        FIELDER       Imad Wasim                CATCH
139188        STRIKER       Ravindra Jadeja           BAT_END
139196        STRIKER       Ravindra Jadeja           RUN_START
139222        NON_STRIKER   Axar Patel                RUN_START
141346        NON_STRIKER   Axar Patel                RUN_END
142581        STRIKER       Ravindra Jadeja           RUN_END
142663        BOWLER        Mohammad Wasim Jr.        BOWL_START
142681        BOWLER        Mohammad Wasim Jr.        BOWL_END
142686        STRIKER       Kuldeep Yadav             BAT_START
142698        STRIKER       Kuldeep Yadav             BAT_END
142699        STRIKER       Kuldeep Yadav             RUN_START
142699        FIELDER       Shaheen Afridi            CATCH
142707        NON_STRIKER   Axar Patel                RUN_START
144801        STRIKER       Kuldeep Yadav             RUN_END
144824        NON_STRIKER   Axar Patel                RUN_END
144864        BOWLER        Mohammad Wasim Jr.        BOWL_START
144865        BOWLER        Mohammad Wasim Jr.        BOWL_END
144868        STRIKER       Axar Patel                BAT_START
144874        STRIKER       Axar Patel                BAT_END
144874        STRIKER       Axar Patel                RUN_START
144875        FIELDER       Haris Rauf                CATCH
144876        NON_STRIKER   Kuldeep Yadav             RUN_START
147245        STRIKER       Axar Patel                RUN_END
147973        NON_STRIKER   Kuldeep Yadav             RUN_END
148013        BOWLER        Mohammad Wasim Jr.        BOWL_START
148014        BOWLER        Mohammad Wasim Jr.        BOWL_END
148024        STRIKER       Kuldeep Yadav             BAT_START
148034        STRIKER       Kuldeep Yadav             BAT_END
148035        FIELDER       Fakhar Zaman              CATCH
148035        STRIKER       Kuldeep Yadav             RUN_START
148047        NON_STRIKER   Axar Patel                RUN_START
150196        STRIKER       Kuldeep Yadav             RUN_END
150727        NON_STRIKER   Axar Patel                RUN_END
150771        BOWLER        Mohammad Wasim Jr.        BOWL_START
150772        BOWLER        Mohammad Wasim Jr.        BOWL_END
150773        STRIKER       Kuldeep Yadav             BAT_START
150778        STRIKER       Kuldeep Yadav             BAT_END
150782        STRIKER       Kuldeep Yadav             RUN_START
150779        FIELDER       Babar Azam                CATCH
150795        NON_STRIKER   Axar Patel                RUN_START
153163        STRIKER       Kuldeep Yadav             RUN_END
154520        NON_STRIKER   Axar Patel                RUN_END
154562        BOWLER        Mohammad Wasim Jr.        BOWL_START
154563        BOWLER        Mohammad Wasim Jr.        BOWL_END
154566        STRIKER       Kuldeep Yadav             BAT_START
154571        STRIKER       Kuldeep Yadav             BAT_END
154571        STRIKER       Kuldeep Yadav             RUN_START
154572        FIELDER       Fakhar Zaman              CATCH
154578        NON_STRIKER   Axar Patel                RUN_START
157054        STRIKER       Kuldeep Yadav             RUN_END
158245        NON_STRIKER   Axar Patel                RUN_END
158284        BOWLER        Mohammad Wasim Jr.        BOWL_START
158287        BOWLER        Mohammad Wasim Jr.        BOWL_END
158293        STRIKER       Mohammed Siraj            BAT_START
158300        FIELDER       Haris Rauf                CATCH
158301        STRIKER       Mohammed Siraj            BAT_END
158302        STRIKER       Mohammed Siraj            RUN_START
158304        NON_STRIKER   Axar Patel                RUN_START
159646        NON_STRIKER   Axar Patel                RUN_END
159998        STRIKER       Mohammed Siraj            RUN_END
